************************************自制C语言词法分析表******************************

                 内容		描述  		种别码		内码值		行号
  #include <stdio.h>		头文件  		86			_    		1
 #include <string.h>		头文件  		86			_    		2
  #define is_print 0		宏定义  		85			_    		3
             typedef		关键字  		27			_    		5
              struct		关键字  		25			_    		5
             STUDENT		标识符  		33			1    		5
                   {		界符  		39			_    		5
                 int		关键字  		17			_    		6
                 num		标识符  		33			2    		6
                   ;		界符  		45			_    		6
                char		关键字  		4			_    		7
                   s		标识符  		33			3    		7
                   ;		界符  		45			_    		7
                   }		界符  		40			_    		8
             Student		标识符  		33			4    		8
                   ;		界符  		45			_    		8
                 int		关键字  		17			_    		10
                main		标识符  		33			5    		10
                   (		界符  		35			_    		10
                   )		界符  		36			_    		10
                   {		界符  		39			_    		10
             Student		标识符  		33			4    		11
                   *		运算符  		50			_    		11
            student1		标识符  		33			6    		11
                   ;		界符  		45			_    		11
            student1		标识符  		33			6    		12
                  ->		运算符  		82			_    		12
                 num		标识符  		33			2    		12
                   =		运算符  		70			_    		12
                   3		常数  		34			_    		12
                   ;		界符  		45			_    		12
            student1		标识符  		33			6    		13
                  ->		运算符  		82			_    		13
                   s		标识符  		33			3    		13
                   =		运算符  		70			_    		13
                   '		界符  		41			_    		13
                   q		字符  		83			_    		13
                   '		界符  		41			_    		13
                   ;		界符  		45			_    		13
                 int		关键字  		17			_    		15
                   a		标识符  		33			7    		15
                   =		运算符  		70			_    		15
                  10		常数  		34			_    		15
                   ;		界符  		45			_    		15
              double		关键字  		9			_    		16
                   b		标识符  		33			8    		16
                   =		运算符  		70			_    		16
               -20.9		常数  		34			_    		16
                   ;		界符  		45			_    		16
                 int		关键字  		17			_    		17
                   c		标识符  		33			9    		17
                   =		运算符  		70			_    		17
                   3		常数  		34			_    		17
                   ;		界符  		45			_    		17
                   a		标识符  		33			7    		18
                  ^=		运算符  		78			_    		18
                   2		常数  		34			_    		18
                   ;		界符  		45			_    		18
                  if		关键字  		16			_    		19
                   (		界符  		35			_    		19
                   a		标识符  		33			7    		19
                  <=		运算符  		59			_    		19
                   b		标识符  		33			8    		19
                   )		界符  		36			_    		19
                   a		标识符  		33			7    		20
                  +=		运算符  		71			_    		20
                   b		标识符  		33			8    		20
                   ;		界符  		45			_    		20
                else		关键字  		10			_    		21
                   a		标识符  		33			7    		21
                   =		运算符  		70			_    		21
              33.334		常数  		34			_    		21
                   ;		界符  		45			_    		21
                   a		标识符  		33			7    		22
                 <<=		运算符  		79			_    		22
                   c		标识符  		33			9    		22
                   ;		界符  		45			_    		22
                   a		标识符  		33			7    		23
                   =		运算符  		70			_    		23
                   (		界符  		35			_    		23
                   (		界符  		35			_    		23
                   a		标识符  		33			7    		23
                   &		运算符  		61			_    		23
                   2		常数  		34			_    		23
                   )		界符  		36			_    		23
                   *		运算符  		50			_    		23
                   b		标识符  		33			8    		23
                   +		运算符  		48			_    		23
                   c		标识符  		33			9    		23
                   -		运算符  		49			_    		23
                   a		标识符  		33			7    		23
                   )		界符  		36			_    		23
                   /		运算符  		51			_    		23
                   (		界符  		35			_    		23
               -12.3		常数  		34			_    		23
                   )		界符  		36			_    		23
                   ;		界符  		45			_    		23
                 int		关键字  		17			_    		24
                   i		标识符  		33			10    		24
                   =		运算符  		70			_    		24
                   0		常数  		34			_    		24
                   ;		界符  		45			_    		24
               while		关键字  		32			_    		25
                   (		界符  		35			_    		25
                   i		标识符  		33			10    		25
                   <		运算符  		56			_    		25
                   9		常数  		34			_    		25
                   )		界符  		36			_    		25
                   {		界符  		39			_    		25
                   a		标识符  		33			7    		26
                  ++		运算符  		53			_    		26
                   ;		界符  		45			_    		26
                   i		标识符  		33			10    		27
                  ++		运算符  		53			_    		27
                   ;		界符  		45			_    		27
                   }		界符  		40			_    		28
                 for		关键字  		14			_    		29
                   (		界符  		35			_    		29
                 int		关键字  		17			_    		29
                   j		标识符  		33			11    		29
                   =		运算符  		70			_    		29
                  10		常数  		34			_    		29
                   ;		界符  		45			_    		29
                   j		标识符  		33			11    		29
                   >		运算符  		55			_    		29
                   1		常数  		34			_    		29
                   ;		界符  		45			_    		29
                   j		标识符  		33			11    		29
                  --		运算符  		54			_    		29
                   )		界符  		36			_    		29
                   ;		界符  		45			_    		29
      //switch用法		注释  		47			_    		32
                 int		关键字  		17			_    		32
                 num		标识符  		33			2    		32
                   ;		界符  		45			_    		32
              printf		标识符  		33			12    		33
                   (		界符  		35			_    		33
                   "		界符  		42			_    		33
input integer number: 		字符串  		84			_    		33
                   "		界符  		42			_    		33
                   )		界符  		36			_    		33
                   ;		界符  		45			_    		33
          /*打印*/		注释  		46			_    		33
                   i		标识符  		33			10    		34
                   =		运算符  		70			_    		34
                   7		常数  		34			_    		34
                   ;		界符  		45			_    		34
              switch		关键字  		26			_    		35
                   (		界符  		35			_    		35
                   i		标识符  		33			10    		35
                   )		界符  		36			_    		35
                   {		界符  		39			_    		35
                case		关键字  		3			_    		36
                   1		常数  		34			_    		36
              printf		标识符  		33			12    		36
                   (		界符  		35			_    		36
                   "		界符  		42			_    		36
            Monday\n		字符串  		84			_    		36
                   "		界符  		42			_    		36
                   )		界符  		36			_    		36
                   ;		界符  		45			_    		36
                case		关键字  		3			_    		37
                   2		常数  		34			_    		37
              printf		标识符  		33			12    		37
                   (		界符  		35			_    		37
                   "		界符  		42			_    		37
           Tuesday\n		字符串  		84			_    		37
                   "		界符  		42			_    		37
                   )		界符  		36			_    		37
                   ;		界符  		45			_    		37
                case		关键字  		3			_    		38
                   3		常数  		34			_    		38
              printf		标识符  		33			12    		38
                   (		界符  		35			_    		38
                   "		界符  		42			_    		38
         Wednesday\n		字符串  		84			_    		38
                   "		界符  		42			_    		38
                   )		界符  		36			_    		38
                   ;		界符  		45			_    		38
                case		关键字  		3			_    		39
                   4		常数  		34			_    		39
              printf		标识符  		33			12    		39
                   (		界符  		35			_    		39
                   "		界符  		42			_    		39
          Thursday\n		字符串  		84			_    		39
                   "		界符  		42			_    		39
                   )		界符  		36			_    		39
                   ;		界符  		45			_    		39
                case		关键字  		3			_    		40
                   5		常数  		34			_    		40
              printf		标识符  		33			12    		40
                   (		界符  		35			_    		40
                   "		界符  		42			_    		40
            Friday\n		字符串  		84			_    		40
                   "		界符  		42			_    		40
                   )		界符  		36			_    		40
                   ;		界符  		45			_    		40
                case		关键字  		3			_    		41
                   6		常数  		34			_    		41
              printf		标识符  		33			12    		41
                   (		界符  		35			_    		41
                   "		界符  		42			_    		41
          Saturday\n		字符串  		84			_    		41
                   "		界符  		42			_    		41
                   )		界符  		36			_    		41
                   ;		界符  		45			_    		41
                case		关键字  		3			_    		42
                   7		常数  		34			_    		42
              printf		标识符  		33			12    		42
                   (		界符  		35			_    		42
                   "		界符  		42			_    		42
            Sunday\n		字符串  		84			_    		42
                   "		界符  		42			_    		42
                   )		界符  		36			_    		42
                   ;		界符  		45			_    		42
             default		关键字  		7			_    		43
              printf		标识符  		33			12    		43
                   (		界符  		35			_    		43
                   "		界符  		42			_    		43
             Error\n		字符串  		84			_    		43
                   "		界符  		42			_    		43
                   )		界符  		36			_    		43
                   ;		界符  		45			_    		43
                   }		界符  		40			_    		44
              return		关键字  		20			_    		45
                   0		常数  		34			_    		45
                   ;		界符  		45			_    		45
                   }		界符  		40			_    		46


